"abbreviation","name","equation","lowbnd","uppbnd","obj_coef","subsystem","type","subtype","gpr_rule","is_gene_associated"
"ACLS","Acetolactate synthase","h__c + 2 pyr__c --> alac____S__c + co2__c",0,1000,0,"Valine, Leucine, and Isoleucine Metabolism","core","internal","(b0077 and b0078) or (b3670 and b3671)",TRUE
"TRPS2","Tryptophan synthase (indole)","ser____L__c + indole__c --> trp____L__c + h2o__c",0,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b1260 and b1261",TRUE
"PSCVT","3-phosphoshikimate 1-carboxyvinyltransferase","pep__c + skm5p__c <=> pi__c + 3psme__c",-1000,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b0908",TRUE
"G3PD5","Glycerol-3-phosphate dehydrogenase (ubiquinone-8)","glyc3p__c + q8__c --> dhap__c + q8h2__c",0,1000,0,"Oxidative Phosphorylation","core","internal","(b2243 and b2242 and b2241) or b3426",TRUE
"G1PP","Glucose-1-phosphatase","g1p__c + h2o__c --> pi__c + glc____D__c",0,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b2293 or b3885 or b3697",TRUE
"PFL","Pyruvate formate lyase","pyr__c + coa__c --> accoa__c + for__c",0,1000,0,"Pyruvate Metabolism","core","internal","(b0902 and b0903) or (b0902 and b3114) or (b3951 and b3952) or ((b0902 and b0903) and b2579)",TRUE
"EX_acgam__e","N-Acetyl-D-glucosamine exchange","acgam__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"ANS","Anthranilate synthase","chor__c + gln____L__c --> h__c + glu____L__c + anth__c + pyr__c",0,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b1263 and b1264",TRUE
"FRD2","Fumarate reductase","fum__c + mql8__c --> succ__c + mqn8__c",0,1000,0,"Citric Acid Cycle","core","internal","b4152 and b4151 and b4153 and b4154",TRUE
"FRD3","Fumarate reductase","fum__c + 2dmmql8__c --> 2dmmq8__c + succ__c",0,1000,0,"Citric Acid Cycle","core","internal","b4152 and b4151 and b4153 and b4154",TRUE
"ANPRT","Anthranilate phosphoribosyltransferase","anth__c + prpp__c --> pran__c + ppi__c",0,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b1263",TRUE
"POX","Pyruvate oxidase","h2o__c + q8__c + pyr__c --> ac__c + q8h2__c + co2__c",0,1000,0,"Oxidative Phosphorylation","core","internal","b0871",TRUE
"CHORM","Chorismate mutase","chor__c --> pphn__c",0,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b2599 or b2600",TRUE
"PTAr","Phosphotransacetylase","accoa__c + pi__c <=> actp__c + coa__c",-1000,1000,0,"Pyruvate Metabolism","core","internal","b2297 or b2458",TRUE
"CHORS","Chorismate synthase","3psme__c --> pi__c + chor__c",0,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b2329",TRUE
"IGPS","Indole-3-glycerol-phosphate synthase","h__c + 2cpr5p__c --> 3ig3p__c + h2o__c + co2__c",0,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b1262",TRUE
"ACKr","Acetate kinase","ac__c + atp__c <=> actp__c + adp__c",-1000,1000,0,"Pyruvate Metabolism","core","internal","b2296 or b1849 or b3115",TRUE
"EX_cellb__e","Cellobiose exchange","cellb__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_crn__e","L-Carnitine exchange","crn__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_hxan__e","Hypoxanthine exchange","hxan__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_ile____L__e","L-Isoleucine exchange","ile____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_chol__e","Choline exchange","chol__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_fe3__e","Fe3+ exchange","fe3__e <=>",-1000,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"LEUTAi","Leucine transaminase (irreversible)","4mop__c + glu____L__c --> akg__c + leu____L__c",0,1000,0,"Valine, Leucine, and Isoleucine Metabolism","core","internal","b3770 or b4054",TRUE
"EX_lac____L__e","L-Lactate exchange","lac____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_leu____L__e","L-Leucine exchange","leu____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_glcn__e","D-Gluconate exchange","glcn__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_no3__e","Nitrate exchange","no3__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_h__e","H+ exchange","h__e <=>",-1000,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"DMATT","Dimethylallyltranstransferase","ipdp__c + dmpp__c --> grdp__c + ppi__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b0421",TRUE
"EX_orn__e","Ornithine exchange","orn__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"GRTT","Geranyltranstransferase","grdp__c + ipdp__c --> ppi__c + frdp__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b0421",TRUE
"EX_gln____L__e","L-Glutamine exchange","gln____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"UPP3S","Uroporphyrinogen-III synthase","hmbil__c --> uppg3__c + h2o__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b3804",TRUE
"EX_pro____L__e","L-Proline exchange","pro____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_glyc__e","Glycerol exchange","glyc__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"UPPDC1","Uroporphyrinogen decarboxylase (uroporphyrinogen III)","4 h__c + uppg3__c --> cpppg3__c + 4 co2__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b3997",TRUE
"EX_man__e","D-Mannose exchange","man__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"TMDPP","Thymidine phosphorylase","pi__c + thymd__c <=> 2dr1p__c + thym__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b4382",TRUE
"EX_ade__e","Adenine exchange","ade__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_mn2__e","Mn2+ exchange","mn2__e <=>",-1000,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_4abut__e","4-Aminobutanoate exchange","4abut__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_ac__e","Acetate exchange","ac__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_akg__e","2-Oxoglutarate exchange","akg__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_ala____L__e","L-Alanine exchange","ala____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_arg____L__e","L-Arginine exchange","arg____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_asp____L__e","L-Aspartate exchange","asp____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_pyr__e","Pyruvate exchange","pyr__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_succ__e","Succinate exchange","succ__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_thymd__e","Thymidine exchange","thymd__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_rib____D__e","D-Ribose exchange","rib____D__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_tyr____L__e","L-Tyrosine exchange","tyr____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_cytd__e","Cytidine exchange","cytd__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_dcyt__e","Deoxycytidine exchange","dcyt__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"MOAT","3-deoxy-D-manno-octulosonic acid transferase","ckdo__c + lipidA__c --> h__c + cmp__c + kdolipid4__c",0,1000,0,"Lipopolysaccharide Biosynthesis / Recycling","core","internal","b3633",TRUE
"EX_fum__e","Fumarate exchange","fum__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_sbt____D__e","D-Sorbitol exchange","sbt____D__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_glu____L__e","L-Glutamate exchange","glu____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"UDCPDPS","Undecaprenyl diphosphate synthase","frdp__c + 8 ipdp__c --> 8 ppi__c + udcpdp__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b0174",TRUE
"ECOAH6","3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)","3htdcoa__c <=> h2o__c + td2coa__c",-1000,1000,0,"Membrane Lipid Metabolism","core","internal","b2341 or b3846",TRUE
"USHD","UDP-sugar hydrolase","u23ga__c + h2o__c --> 2 h__c + ump__c + lipidX__c",0,1000,0,"Lipopolysaccharide Biosynthesis / Recycling","core","internal","b0524",TRUE
"EX_gua__e","Guanine exchange","gua__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"ENO","Enolase","2pg__c <=> pep__c + h2o__c",-1000,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b2779",TRUE
"FBA","Fructose-bisphosphate aldolase","fdp__c <=> dhap__c + g3p__c",-1000,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b2925 or b2097",TRUE
"HCO3E","HCO3 equilibration reaction","h2o__c + co2__c <=> h__c + hco3__c",-1000,1000,0,"Unassigned","core","internal","b0126 or b0339",TRUE
"MGSA","Methylglyoxal synthase","dhap__c --> pi__c + mthgxl__c",0,1000,0,"Methylglyoxal Metabolism","core","internal","b0963",TRUE
"IMPC","IMP cyclohydrolase","imp__c + h2o__c <=> fprica__c",-1000,1000,0,"Purine and Pyrimidine Biosynthesis","core","internal","b4006",TRUE
"IMPD","IMP dehydrogenase","imp__c + nad__c + h2o__c --> h__c + xmp__c + nadh__c",0,1000,0,"Purine and Pyrimidine Biosynthesis","core","internal","b2508",TRUE
"PPS","Phosphoenolpyruvate synthase","atp__c + h2o__c + pyr__c --> pep__c + 2 h__c + pi__c + amp__c",0,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b1702",TRUE
"ECOAH4","3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)","3hdcoa__c <=> dc2coa__c + h2o__c",-1000,1000,0,"Membrane Lipid Metabolism","core","internal","b2341 or b3846",TRUE
"LPADSS","Lipid A disaccaride synthase","lipidX__c + u23ga__c --> h__c + lipidAds__c + udp__c",0,1000,0,"Lipopolysaccharide Biosynthesis / Recycling","core","internal","b0182",TRUE
"GLUTRS","Glutamyl-tRNA synthetase","atp__c + glu____L__c + trnaglu__c --> glutrna__c + ppi__c + amp__c",0,1000,0,"tRNA Charging","core","internal","b2400",TRUE
"TDSK","Tetraacyldisaccharide 4'kinase","atp__c + lipidAds__c --> h__c + adp__c + lipidA__c",0,1000,0,"Lipopolysaccharide Biosynthesis / Recycling","core","internal","b0915",TRUE
"PGI","Glucose-6-phosphate isomerase","g6p__c <=> f6p__c",-1000,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b4025",TRUE
"TMPPP","Thiamine-phosphate diphosphorylase","h__c + 2mahmp__c + 4mpetz__c --> ppi__c + thmmp__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b3993",TRUE
"EX_btn__e","Biotin exchange","btn__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"PGK","Phosphoglycerate kinase","3pg__c + atp__c <=> 13dpg__c + adp__c",-1000,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b2926",TRUE
"EX_ptrc__e","Putrescine exchange","ptrc__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EDA","2-dehydro-3-deoxy-phosphogluconate aldolase","2ddg6p__c --> g3p__c + pyr__c",0,1000,0,"Pentose Phosphate Pathway","core","internal","b1850",TRUE
"EX_spmd__e","Spermidine exchange","spmd__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_thym__e","Thymine exchange","thym__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"EX_xtsn__e","Xanthosine exchange","xtsn__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"NTPP1","Nucleoside triphosphate pyrophosphorylase (dgtp)","h2o__c + dgtp__c --> h__c + ppi__c + dgmp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b0099 or b2781",TRUE
"URIK1","Uridine kinase  ATPUridine ","atp__c + uri__c --> h__c + ump__c + adp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b2066",TRUE
"URIK2","Uridine kinase (GTP:Uridine)","uri__c + gtp__c --> h__c + ump__c + gdp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b2066",TRUE
"NTPP2","Nucleoside triphosphate pyrophosphorylase (gtp)","h2o__c + gtp__c --> h__c + ppi__c + gmp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b0099 or b2781",TRUE
"PGL","6-phosphogluconolactonase","h2o__c + 6pgl__c --> h__c + 6pgc__c",0,1000,0,"Pentose Phosphate Pathway","core","internal","b0767",TRUE
"NTPTP1","Nucleoside triphosphate tripolyhydrolase","h2o__c + dgtp__c --> pppi__c + dgsn__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b0160",TRUE
"NTPTP2","Nucleoside triphosphate tripolyhydrolase","h2o__c + gtp__c --> pppi__c + gsn__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b0160",TRUE
"CYTDK1","ATP:cytidine 5'-phosphotransferase","cytd__c + atp__c --> h__c + adp__c + cmp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b2066",TRUE
"RPE","Ribulose 5-phosphate 3-epimerase","ru5p____D__c <=> xu5p____D__c",-1000,1000,0,"Pentose Phosphate Pathway","core","internal","b3386",TRUE
"DHQTi","3-dehydroquinate dehydratase, irreversible","3dhq__c --> 3dhsk__c + h2o__c",0,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b1693",TRUE
"IPMD","3-isopropylmalate dehydrogenase","nad__c + 3c2hmp__c --> h__c + nadh__c + 3c4mop__c",0,1000,0,"Valine, Leucine, and Isoleucine Metabolism","core","internal","b0073 or b1800",TRUE
"AIRC3","Phosphoribosylaminoimidazole carboxylase (mutase rxn)","5aizc__c <=> 5caiz__c",-1000,1000,0,"Purine and Pyrimidine Biosynthesis","core","internal","b0523",TRUE
"TALA","Transaldolase","g3p__c + s7p__c <=> e4p__c + f6p__c",-1000,1000,0,"Pentose Phosphate Pathway","core","internal","b0008 or b2464",TRUE
"PUNP1","Purine-nucleoside phosphorylase (Adenosine)","pi__c + adn__c <=> r1p__c + ade__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b4384",TRUE
"PUNP2","Purine-nucleoside phosphorylase (Deoxyadenosine)","pi__c + dad__2__c <=> 2dr1p__c + ade__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b4384",TRUE
"PUNP3","Purine-nucleoside phosphorylase (Guanosine)","pi__c + gsn__c <=> r1p__c + gua__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b2407 or b4384",TRUE
"ADSL2r","Adenylosuccinate lyase","25aics__c <=> aicar__c + fum__c",-1000,1000,0,"Purine and Pyrimidine Biosynthesis","core","internal","b1131",TRUE
"TKT1","Transketolase","r5p__c + xu5p____D__c <=> g3p__c + s7p__c",-1000,1000,0,"Pentose Phosphate Pathway","core","internal","b2935 or b2465",TRUE
"EX_fe2__e","Fe2+ exchange","fe2__e <=>",-1000,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
